0,Nazwisko nos Pan.,9369,4753,5833,93.47
1,Udział kierowca.,5092,156,3686,126.62
2,Poza ryzyko podłoga.,6577,5402,6377,29.26
3,Łączyć wina zakres.,3503,2604,3939,89.92
4,Podstawowy zarówno.,4578,3225,911,94.51
5,Zmiana ziemia ile.,6874,893,4455,34.74
6,Fałszywy serce.,969,7959,605,12.64
7,Prasa mieszkanie.,5754,4041,9511,96.35
8,Powinien cień drugi.,6833,646,8202,85.46
9,Liczny.,7000,9339,2707,76.71
10,Szacunek 9 świnia.,5485,5328,2435,15.49
11,Zachowanie nastrój.,4315,3818,1265,87.06
12,Chodzić myśleć.,9609,4656,7537,87.72
13,Znak kierunek.,9214,9249,4374,14.23
14,System wiara róg.,5582,7376,6337,138.19
15,Niebo oczywiście.,6133,2856,2503,138.1
16,Kwiat pani chory.,4621,4864,1606,31.41
17,Naczynie związać.,2331,1749,297,70.28
18,Religijny kawa.,8277,2120,8127,68.65
19,Także ssak maszyna.,5855,5509,6986,89.22
